Station Name;Region;State;Code;Latitude;Longitude;Year
BRASILIA;CO;DF;A001;-15,78944444;-47,92583332;2006
GOIANIA;CO;GO;A002;-16,64277777;-49,21999999;2006
MORRINHOS;CO;GO;A003;-17,71666667;-49,1;2006
SAO SIMAO;CO;GO;A011;-18,96666666;-50,61666666;2006
LUZIANIA;CO;GO;A012;-16,27222222;-47,96638889;2006
CAMPO GRANDE;CO;MS;A702;-20,45;-54,6;2006
PONTA PORA;CO;MS;A703;-22,5525;-55,71638888;2006
TRES LAGOAS;CO;MS;A704;-20,78999999;-51,71222222;2006
IVINHEMA;CO;MS;A709;-22,30666666;-53,82722221;2006
PARANAIBA;CO;MS;A710;-19,69527777;-51,18138888;2006
NHUMIRIM;CO;MS;A717;-18,98888888;-56,62305554;2006
AQUIDAUANA;CO;MS;A719;-20,47555554;-55,78388888;2006
COXIM;CO;MS;A720;-18,51222222;-54,73583333;2006
DOURADOS;CO;MS;A721;-22,19388888;-54,91138888;2006
MIRANDA;CO;MS;A722;-20,38333333;-56,41666666;2006
PORTO MURTINHO;CO;MS;A723;-21,70583333;-57,88666666;2006
CORUMBA;CO;MS;A724;-18,99666666;-57,63749999;2006
CHAPADAO DO SUL;CO;MS;A730;-18,80222222;-52,60277777;2006
MARACAJU;CO;MS;A731;-21,60916666;-55,17777777;2006
SAO GABRIEL DO OESTE;CO;MS;A732;-19,42027777;-54,55305555;2006
CUIABA;CO;MT;A901;-15,55916666;-56,72944443;2006
TANGARA DA SERRA;CO;MT;A902;-14,65;-57,41666666;2006
S.J. DO RIO CLARO;CO;MT;A903;-13,45;-56,66666666;2006
SORRISO;CO;MT;A904;-12,55;-55,71666666;2006
CAMPO NOVO DOS PARECIS;CO;MT;A905;-13,78333333;-57,83333333;2006
GUARANTA DO NORTE;CO;MT;A906;-9,95;-54,88333333;2006
RONDONOPOLIS;CO;MT;A907;-16,45;-54,56666666;2006
AGUA BOA;CO;MT;A908;-14,01611111;-52,21222222;2006
APIACAS;CO;MT;A910;-9,56388888;-57,3936111;2006
CAMPO VERDE;CO;MT;A912;-15,52749999;-55,13555555;2006
COMODORO;CO;MT;A913;-13,70861111;-59,76277777;2006
JUARA;CO;MT;A914;-11,28027777;-57,52666666;2006
PARANATINGA;CO;MT;A915;-14,42138888;-54,03527777;2006
SINOP;CO;MT;A917;-11,98222221;-55,56583333;2006
JUINA;CO;MT;A920;-11,36694443;-58,73305554;2006
VILA BELA DA SANTISSIMA TRINDADE;CO;MT;A922;-15,06277777;-59,87277777;2006
MANAUS;N;AM;A101;-3,10333333;-60,01638888;2006
BELEM;N;PA;A201;-1,41027777;-48,43833333;2006
CASTANHAL;N;PA;A202;-1,30083333;-47,93083332;2006
PALMAS;N;TO;A009;-10,18333333;-48,3;2006
PARANA;N;TO;A010;-12,615;-47,87194443;2006
PEIXE;N;TO;A018;-12,01666666;-48,55;2006
GURUPI;N;TO;A019;-11,74583333;-49,04972221;2006
MACEIO;NE;AL;A303;-9,55111111;-35,77027777;2006
SALVADOR;NE;BA;A401;-13,01666666;-38,51666666;2006
BARREIRAS;NE;BA;A402;-12,15;-45,01666666;2006
LUIZ EDUARDO MAGALHAES;NE;BA;A404;-12,15222222;-45,82972221;2006
CARAVELAS;NE;BA;A405;-17,73333333;-39,26666666;2006
CRUZ DAS ALMAS;NE;BA;A406;-12,65;-39,15;2006
ITIRUCU;NE;BA;A407;-13,52833332;-40,11972221;2006
ITABERABA;NE;BA;A408;-12,51666666;-40,3;2006
ILHEUS;NE;BA;A410;-14,65944444;-39,1811111;2006
MACAJUBA;NE;BA;A412;-12,11666666;-40,18333333;2006
FORTALEZA;NE;CE;A305;-3,83222221;-38,53777777;2006
SOBRAL;NE;CE;A306;-3,73166666;-40,34555555;2006
SAO LUIS;NE;MA;A203;-2,52694443;-44,21305555;2006
AREIA;NE;PB;A310;-6,97499999;-35,68499999;2006
CAMPINA GRANDE;NE;PB;A313;-7,24249999;-35,88888888;2006
RECIFE;NE;PE;A301;-8,05916666;-34,95944444;2006
PETROLINA;NE;PE;A307;-9,38805555;-40,48944444;2006
ARCO VERDE;NE;PE;A309;-8,41694443;-37,08333333;2006
PARNAIBA;NE;PI;A308;-3,08638888;-41,78333333;2006
FLORIANO;NE;PI;A311;-6,76666666;-43,01666666;2006
TERESINA;NE;PI;A312;-5,07388888;-42,80694444;2006
ARQ.SAO PEDRO E SAO PAULO;NE;RN;A302;0,9;-29,31666666;2006
NATAL;NE;RN;A304;-5,9;-35,2;2006
ARACAJU;NE;SE;A409;-10,95027777;-37,05;2006
CURITIBA;S;PR;A807;-25,43333333;-49,26666666;2006
IVAI;S;PR;A818;-25,01333333;-50,8711111;2006
CASTRO;S;PR;A819;-24,78944444;-49,99972221;2006
MAL. CANDIDO RONDON;S;PR;A820;-24,53583333;-54,01972221;2006
JOAQUIM TAVORA;S;PR;A821;-23,50527777;-49,94638888;2006
NOVA TEBAS;S;PR;A822;-24,43722221;-51,96305555;2006
INACIO MARTINS;S;PR;A823;-25,56583333;-51,08944444;2006
ICARAIMA;S;PR;A824;-23,39027777;-53,63472221;2006
MARINGA;S;PR;A835;-23,40777777;-51,91666666;2006
PORTO ALEGRE;S;RS;A801;-30,05;-51,16666666;2006
RIO GRANDE;S;RS;A802;-32,03333333;-52,1;2006
SANTA MARIA;S;RS;A803;-29,70833333;-53,70361111;2006
SANTANA DO LIVRAMENTO;S;RS;A804;-30,84249999;-55,61277777;2006
SANTO AUGUSTO;S;RS;A805;-27,85416666;-53,7911111;2006
TORRES;S;RS;A808;-29,35027777;-49,73305554;2006
URUGUAIANA;S;RS;A809;-29,84249999;-57,08249999;2006
SANTA ROSA;S;RS;A810;-27,89305555;-54,48055554;2006
CACAPAVA DO SUL;S;RS;A812;-30,54777777;-53,46749999;2006
RIO PARDO;S;RS;A813;-29,87333332;-52,38249999;2006
ALEGRETE;S;RS;A826;-29,71166666;-55,5261111;2006
ERECHIM;S;RS;A828;-27,66027777;-52,30638888;2006
SAO JOSE DOS AUSENTES;S;RS;A829;-28,75138888;-50,05833333;2006
CAMAQUA;S;RS;A838;-30,81055555;-51,83472221;2006
PASSO FUNDO;S;RS;A839;-28,22944443;-52,40388888;2006
BENTO GONCALVES;S;RS;A840;-29,16722221;-51,53472221;2006
FLORIANOPOLIS;S;SC;A806;-27,6025;-48,61999999;2006
INDAIAL;S;SC;A817;-26,91361111;-49,26749999;2006
VITORIA;SE;ES;A612;-20,26666666;-40,3;2006
LINHARES;SE;ES;A614;-19,35694444;-40,0686111;2006
ALFREDO CHAVES;SE;ES;A615;-20,63638888;-40,74138888;2006
SAO MATEUS;SE;ES;A616;-18,71388888;-39,84833333;2006
ALEGRE;SE;ES;A617;-20,75055555;-41,48888888;2006
BARBACENA;SE;MG;A502;-21,22888888;-43,76694443;2006
ARAXA;SE;MG;A505;-19,60555555;-46,94944444;2006
MONTES CLAROS;SE;MG;A506;-16,71666666;-43,86666666;2006
UBERLANDIA;SE;MG;A507;-18,91722221;-48,25555555;2006
ALMENARA;SE;MG;A508;-16,16666666;-40,68777777;2006
MONTE VERDE;SE;MG;A509;-22,86138888;-46,04333333;2006
VICOSA;SE;MG;A510;-20,76277777;-42,86388888;2006
TIMOTEO;SE;MG;A511;-19,5736111;-42,62222221;2006
ITUIUTABA;SE;MG;A512;-18,95277777;-49,52499999;2006
OURO BRANCO;SE;MG;A513;-20,54583333;-43,76944443;2006
SAO JOAO DEL REI;SE;MG;A514;-21,22638888;-44,97944443;2006
VARGINHA;SE;MG;A515;-21,56638888;-45,40416666;2006
PASSOS;SE;MG;A516;-20,74499999;-46,63388888;2006
MURIAE;SE;MG;A517;-21,10472222;-42,37583332;2006
CAMPINA VERDE;SE;MG;A519;-19,53916666;-49,51805554;2006
CONCEICAO DAS ALAGOAS;SE;MG;A520;-19,98583333;-48,15138888;2006
PAMPULHA;SE;MG;A521;-19,88416666;-43,96944443;2006
SERRA DOS AIMORES;SE;MG;A522;-17,7986111;-40,24972221;2006
PATROCINIO;SE;MG;A523;-18,99638888;-46,98583333;2006
FORMIGA;SE;MG;A524;-20,45472222;-45,45388888;2006
